case,q,pool_sp,pull_sp,mk,cores,exp,plan_path,ts,source,verified_local
case_026,3,2.906366,2.906366,34133,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_026_q3_N5_s11/plan.json,2026-09-24T08:52:06+00:00,pool,
case_027,3,5.128446,5.128446,460949,5,A-P3-STRAND-N5,runs/A-P3-STRAND-N5/case_027_q3_N5_s11/plan.json,2026-09-24T07:57:48+00:00,pull,
case_028,3,5.445693,5.445693,8049671,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_028_q3_N5_s11/plan.json,2026-09-24T08:52:35+00:00,pool,
case_029,3,4.537272,4.179279,8986,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_029_q3_N5_s11/plan.json,2026-09-24T08:53:43+00:00,pool,
case_030,3,4.994902,4.994902,562180,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_030_q3_N5_s11/plan.json,2026-09-24T08:59:06+00:00,pool,
case_031,3,4.625492,4.792246,295137,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_031_q3_N5_s11/plan.json,2026-09-24T08:52:01+00:00,pull,
case_032,3,3.475595,3.578843,11580,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_032_q3_N5_s11/plan.json,2026-09-24T08:58:41+00:00,pull,
case_033,3,5.003782,5.010791,354075,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_033_q3_N5_s11/plan.json,2026-09-24T08:59:30+00:00,pull,
case_034,3,4.80959,4.910475,171673,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_034_q3_N5_s11/plan.json,2026-09-24T08:52:16+00:00,pull,
case_035,3,1.897001,1.875433,90417,4,A-P3-CACHE-002,runs/A-P3-CACHE-002/case_035_q3_N4_s11/plan.json,2026-09-24T00:55:21+00:00,pool,
case_036,3,4.976493,4.976493,187182,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_036_q3_N5_s11/plan.json,2026-09-24T08:59:38+00:00,pool,
case_037,3,4.882268,4.882268,43013,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_037_q3_N5_s11/plan.json,2026-09-24T08:53:57+00:00,pool,
case_038,3,5.007045,5.007045,272527,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_038_q3_N5_s11/plan.json,2026-09-24T09:02:55+00:00,pool,
case_039,3,4.385198,4.889744,293525,5,A-P3-STRAND-N5,runs/A-P3-STRAND-N5/case_039_q3_N5_s11/plan.json,2026-09-24T07:57:56+00:00,pull,
case_040,3,2.39725,2.463541,102882,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_040_q3_N5_s11/plan.json,2026-09-24T08:58:55+00:00,pull,
case_041,3,4.957568,4.957568,1211069,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_041_q3_N5_s11/plan.json,2026-09-24T09:00:44+00:00,pool,
case_042,3,4.936347,4.936347,341698,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_042_q3_N5_s11/plan.json,2026-09-24T08:53:28+00:00,pool,
case_043,3,2.981985,3.245277,208813,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_043_q3_N5_s11/plan.json,2026-09-24T08:58:28+00:00,pull,
case_044,3,2.701548,3.494557,44185,2,A-P3-WAVE-N235,runs/A-P3-WAVE-N235/case_044_q3_N2_s11/plan.json,2026-09-23T22:06:50+00:00,pull,
case_045,3,4.801024,4.801024,26164,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_045_q3_N5_s11/plan.json,2026-09-24T08:54:12+00:00,pool,
case_046,3,4.084556,4.084556,67683,5,A-P3-STRAND-N5,runs/A-P3-STRAND-N5/case_046_q3_N5_s11/plan.json,2026-09-24T08:05:05+00:00,pool,
case_047,3,1.332789,1.279335,255217,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_047_q3_N5_s11/plan.json,2026-09-24T08:56:18+00:00,pool,
case_048,3,1.502156,1.244205,178604,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_048_q3_N5_s11/plan.json,2026-09-24T08:59:42+00:00,pool,
case_049,3,1.585684,2.410306,81432,4,A-P3-CACHE-002,runs/A-P3-CACHE-002/case_049_q3_N4_s11/plan.json,2026-09-24T00:53:23+00:00,pull,
case_050,3,2.128728,2.054516,72859,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_050_q3_N5_s11/plan.json,2026-09-24T08:55:07+00:00,pool,
